登録番号,状態,複本,受入日付,タイトル (巻・版),シリーズ,著者,出版者,出版年,ISBN,頁数,大きさ,定価,請求記号,資料区分,受入区分,受入価格,現在の配架,配架場所,一時配架,貸出区分,備考,貸出累計,タグ
264679,在架,,2020/6/10 0:00,モヤモヤの正体,,尹雄大　著,ミシマ社,2020.1,978-4-909394-31-6,220p,19cm,1800円,361.45-ユ,図書,購入,1620,図書室,図書室,,一般貸出,,0,
264686,在架,,2020/6/10 0:00,にちにいまし,,山本彩香　著,文藝春秋,2020.1,978-4-16-391163-2,159p,19cm,1450円,596.21-ヤ,図書,購入,1305,図書室,図書室,,一般貸出,,0,
264693,在架,,2020/6/10 0:00,格差と分断のアメリカ = Dividing Issues in American Politics,,西山隆行　著,東京堂出版,2020.2,978-4-490-21026-2,291p,20cm,2400円,302.53-ニ,図書,購入,2160,図書室,図書室,,一般貸出,,1,
264709,在架,,2020/6/10 0:00,レスキューナースが教えるプチプラ防災,,辻直美　著,扶桑社,2019.12,978-4-594-08335-9,159p,21cm,1200円,369.3-ツ,図書,購入,1080,図書室,図書室,,一般貸出,,0,
264716,在架,,2020/6/10 0:00,宝塚受験,,川路真瑳　著,左右社,2020.2,978-4-86528-266-5,188p,19cm,1700円,775.4-カ,図書,購入,1530,図書室,図書室,,一般貸出,,0,
264723,在架,,2020/6/10 0:00,言葉ダイエット,,橋口幸生　著,宣伝会議,2020.1,978-4-88335-480-1,215p,19cm,1500円,336.5-ハ,図書,購入,1350,図書室,図書室,,一般貸出,,2,
264792,在架,,2020/6/10 0:00,アンサングシンデレラ　4,,荒井ママレ,ゼノン,2020.05.04,978-4-86720-019-3,172p,,580,726-ア-4,図書,購入,0,図書室,図書室,,一般貸出,,2,
264808,在架,,2020/6/10 0:00,NHK Eテレ世界の哲学者に人生相談スペシャルエディション,,高田純次　著,すばる舎,2019.4,978-4-7991-0800-0,282p,19cm,1600円,100-タ,図書,購入,1440,図書室,図書室,,一般貸出,,0,
264815,在架,,2020/6/10 0:00,丸の内魔法少女ミラクリーナ,,村田沙耶香　著,KADOKAWA,2020.2,978-4-04-108423-6,210p,20cm,1600円,913.6-ム,図書,購入,1440,図書室,図書室,,一般貸出,,0,
264822,在架,,2020/6/10 0:00,流浪の月 = The Wandering Moon,,凪良ゆう　著,東京創元社,2019.8,978-4-488-02802-2,313p,20cm,1500円,913.6-ナ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
264839,在架,,2020/6/10 0:00,ライオンのおやつ,,小川糸　著,ポプラ社,2019.1,978-4-591-16002-2,255p,20cm,1500円,913.6-オ,図書,購入,1350,図書室,図書室,,一般貸出,,1,
264846,在架,,2020/6/10 0:00,線は、僕を描く,,砥上裕將　著,講談社,2019.7,978-4-06-513759-8,317p,19cm,1500円,913.6-ト,図書,購入,1350,図書室,図書室,,一般貸出,,0,
264853,在架,,2020/6/10 0:00,へんなおさかな,,竹島水族館スタッフ　編,あさ出版,2018/3/5,4-86667-042-8,159p,19cm,1200,480-タ,図書,購入,1080,図書室,図書室,,一般貸出,,0,
265300,在架,,2020/7/28 0:00,なぜ僕らは働くのか,,池上彰　監修,学研プラス,2020.3,978-4-05-205171-5,227p,21cm,1500円,366-イ,図書,購入,1350,図書室,図書室,,一般貸出,,1,
265317,在架,,2020/7/28 0:00,10歳の君に贈る、心を強くする26の言葉,,岩村太郎　著,えほんの杜,2018.1,978-4-904188-51-4,71p,21cm,1500円,159.5-イ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
265324,在架,,2020/7/28 0:00,世界のＶＩＰが指名する執事の手帳・ノート術,,新井直之　著,文響社,2017/11/16,4-86651-039-0,223p,19cm,1280,336.55-ア,図書,購入,1152,図書室,図書室,,一般貸出,,0,
265331,在架,,2020/7/28 0:00,はたらく血小板ちゃん　1,シリウスKC,柿原優子　原作,講談社,2020.1,978-4-06-518185-0,120p,19cm,630円,726.1-カ-1,図書,購入,567,図書室,図書室,,一般貸出,,7,
265348,在架,,2020/7/28 0:00,水族館が好きすぎて! = I love the aquarium,MF comic essay,まつおるか　著,KADOKAWA,2020.1,978-4-04-064278-9,123p,21cm,1100円,481.72-マ,図書,購入,990,図書室,図書室,,一般貸出,,0,
265355,在架,,2020/7/28 0:00,神さまとのおしゃべり,サンマーク文庫　さ　４－１,さとうみつろう　著,サンマーク出版,2018/1/8,4-7631-6096-6,583p,15cm,920,159-サ,図書,購入,828,図書室,図書室,,一般貸出,,0,
265508,在架,,2020/7/28 0:00,ルポ老人受刑者,,斎藤充功　著,中央公論新社,2020.5,978-4-12-005303-0,212p,20cm,1500円,326.52-サ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
265515,在架,,2020/7/28 0:00,人工知能　ディープラーニング編,ニュートン式超図解最強に面白い!!,,ニュートンプレス,2019.1,978-4-315-52185-6,125p,21cm,900円,7.13,図書,購入,810,図書室,図書室,,一般貸出,,1,
265522,在架,,2020/7/28 0:00,夢みる巨大仏,ＫａｎＫａｎ　Ｔｒｉｐ　Ｊａｐａｎ　４,半田カメラ　著,書肆侃侃房//地方・小出版流通センター,2018/2/23,4-86385-297-5,175p,21cm,1600,718-ハ,図書,購入,1440,図書室,図書室,,一般貸出,,0,
265539,在架,,2020/7/28 0:00,猫と住まいの解剖図鑑,,いしまるあきこ　著,エクスナレッジ,2020.3,978-4-7678-2727-8,159p,21cm,1600円,645.7-イ,図書,購入,1440,図書室,図書室,,一般貸出,,0,
265546,在架,,2020/7/28 0:00,お嬢さまことば速修講座　改訂版,,加藤ゑみ子　監修,ディスカヴァー・トゥエンティワン,2017.6,978-4-7993-2117-1,182p,19cm,1400円,809.2-カ,図書,購入,1260,図書室,図書室,,一般貸出,,0,
265553,在架,,2020/7/28 0:00,女帝小池百合子,,石井 妙子,文藝春秋,,978-4-16-391230-1,444p,19cm,1500,289.1,図書,購入,0,図書室,図書室,,一般貸出,,0,
265560,在架,,2020/7/28 0:00,３色だけでセンスのいい色 - 見てわかる、迷わず決まる配色アイデア,,Ｉｎｇｅｃｔａｒ－〓,インプレス,,978-4-295-00889-7,223p,21cm,1800,757.3,図書,購入,0,図書室,図書室,,一般貸出,,0,
265577,在架,,2020/7/28 0:00,はたらく血小板ちゃん　2,,柿原優子/ヤス,講談社,,978-4-06-519798-1,120p,19cm,630,726.1-2,図書,購入,0,図書室,図書室,,一般貸出,,8,
265584,在架,,2020/7/28 0:00,ことりっぷ沖縄,,,昭文社,,978-4-398-15542-9,151p,18cm,850,291.99,図書,購入,0,図書室,図書室,,一般貸出,,0,
265591,在架,,2020/7/28 0:00,ワイルドサイドをほっつき歩け―ハマータウンのおっさんたち,,ブレイディ みかこ,筑摩書房,,978-4-480-81550-7,251p,15cm,1350,302.33,図書,購入,0,図書室,図書室,,一般貸出,,0,
265607,在架,,2020/8/31 0:00,syunkonカフェごはん　7,e-MOOK,山本ゆり　[著],宝島社,2020.5,978-4-299-00438-3,"95, 24p",26cm,840円,596,図書,購入,756,図書室,図書室,,一般貸出,,0,
265614,在架,,2020/8/31 0:00,北極と南極の「へぇ～」くらべてわかる地球のこと,環境ノンフィクション,中山由美　文・写真,学研プラス,2019.8,978-4-05-204698-8,112p,22cm,1400円,297.7-ナ,図書,購入,1260,図書室,図書室,,一般貸出,,0,
265621,在架,,2020/8/31 0:00,ねこと王さま,,ニック・シャラット　作・絵,徳間書店,2019.12,978-4-19-865003-2,166p,22cm,1600円,933.7-Ｓ,図書,購入,1440,図書室,図書室,,一般貸出,,0,
265638,在架,,2020/8/31 0:00,世界はもっと!ほしいモノにあふれてる,,NHK「世界はほしいモノにあふれてる」制作班　監修・協力,KADOKAWA,2020.4,978-4-04-735897-3,143p,21cm,1550円,290.93-日,図書,購入,1395,図書室,図書室,,一般貸出,,0,
265706,在架,,2020/8/31 0:00,鬼滅の刃　15,ジャンプコミックス,吾峠呼世晴　著,集英社,2019.4,978-4-08-881799-6,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-15,図書,購入,396,図書室,図書室,,一般貸出,,1,
265713,在架,,2020/8/31 0:00,鬼滅の刃　14,ジャンプコミックス,吾峠呼世晴　著,集英社,2019.1,978-4-08-881695-1,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-14,図書,購入,396,図書室,図書室,,一般貸出,,1,
265720,在架,,2020/8/31 0:00,鬼滅の刃　13,ジャンプコミックス,吾峠呼世晴　著,集英社,2018.11,978-4-08-881626-5,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-13,図書,購入,396,図書室,図書室,,一般貸出,,1,
265737,在架,,2020/8/31 0:00,鬼滅の刃　12,ジャンプコミックス,吾峠呼世晴　著,集英社,2018.8,978-4-08-881540-4,1冊,18cm,440円,726.1-コ-12,図書,購入,396,図書室,図書室,,一般貸出,,1,
265744,在架,,2020/8/31 0:00,鬼滅の刃　11,ジャンプコミックス,吾峠呼世晴　著,集英社,2018.6,978-4-08-881399-8,1冊(ﾍﾟｰｼﾞ付なし),18cm,400円,726.1-コ-11,図書,購入,360,図書室,図書室,,一般貸出,,1,
265751,在架,,2020/8/31 0:00,鬼滅の刃　10,ジャンプコミックス,吾峠呼世晴　著,集英社,2018.3,978-4-08-881355-4,1冊(ﾍﾟｰｼﾞ付なし),18cm,400円,726.1-コ-10,図書,購入,360,図書室,図書室,,一般貸出,,1,
265768,在架,,2020/8/31 0:00,鬼滅の刃　9,ジャンプコミックス,吾峠呼世晴　著,集英社,2017.12,978-4-08-881283-0,1冊,18cm,400円,726.1-コ-9,図書,購入,360,図書室,図書室,,一般貸出,,1,
265775,在架,,2020/8/31 0:00,鬼滅の刃　8,ジャンプコミックス,吾峠呼世晴　著,集英社,2017.1,978-4-08-881212-0,191p,18cm,400円,726.1-コ-8,図書,購入,360,図書室,図書室,,一般貸出,,1,
265782,在架,,2020/8/31 0:00,鬼滅の刃　7,ジャンプコミックス,吾峠呼世晴　著,集英社,2017.8,978-4-08-881193-2,1冊,18cm,400円,726.1-コ-7,図書,購入,360,図書室,図書室,,一般貸出,,1,
265799,在架,,2020/8/31 0:00,鬼滅の刃　6,ジャンプコミックス,吾峠呼世晴　著,集英社,2017.5,978-4-08-881076-8,197p,18cm,400円,726.1-コ-6,図書,購入,360,図書室,図書室,,一般貸出,,1,
265805,在架,,2020/8/31 0:00,鬼滅の刃　5,ジャンプコミックス,吾峠呼世晴　著,集英社,2017.3,978-4-08-881026-3,172p,18cm,400円,726.1-コ-5,図書,購入,360,図書室,図書室,,一般貸出,,1,
265812,在架,,2020/8/31 0:00,鬼滅の刃　4,ジャンプコミックス,吾峠呼世晴　著,集英社,2016.12,978-4-08-880826-0,186p,18cm,400円,726.1-コ-4,図書,購入,360,図書室,図書室,,一般貸出,,1,
265829,在架,,2020/8/31 0:00,鬼滅の刃　3,ジャンプコミックス,吾峠呼世晴　著,集英社,2016.1,978-4-08-880795-9,186p,18cm,400円,726.1-コ-3,図書,購入,360,図書室,図書室,,一般貸出,,1,
265645,在架,,2020/8/31 0:00,鬼滅の刃　21,ジャンプコミックス,吾峠呼世晴　著,集英社,2020.7,978-4-08-882349-2,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-21,図書,購入,396,図書室,図書室,,一般貸出,,1,
265652,在架,,2020/8/31 0:00,鬼滅の刃　20,ジャンプコミックス,吾峠呼世晴　著,集英社,2020.5,978-4-08-882282-2,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-20,図書,購入,396,図書室,図書室,,一般貸出,,1,
265669,在架,,2020/8/31 0:00,鬼滅の刃　19,ジャンプコミックス,吾峠呼世晴　著,集英社,2020.2,978-4-08-882204-4,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-19,図書,購入,396,図書室,図書室,,一般貸出,,1,
265676,在架,,2020/8/31 0:00,鬼滅の刃　18,ジャンプコミックス,吾峠呼世晴　著,集英社,2019.12,978-4-08-882141-2,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-18,図書,購入,396,図書室,図書室,,一般貸出,,1,
265683,在架,,2020/8/31 0:00,鬼滅の刃　17,ジャンプコミックス,吾峠呼世晴　著,集英社,2019.1,978-4-08-882080-4,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-17,図書,購入,396,図書室,図書室,,一般貸出,,1,
265690,在架,,2020/8/31 0:00,鬼滅の刃　16,ジャンプコミックス,吾峠呼世晴　著,集英社,2019.7,978-4-08-881867-2,1冊(ﾍﾟｰｼﾞ付なし),18cm,440円,726.1-コ-16,図書,購入,396,図書室,図書室,,一般貸出,,1,
265836,在架,,2020/8/31 0:00,鬼滅の刃　2,ジャンプコミックス,吾峠呼世晴　著,集英社,2016.8,978-4-08-880755-3,1冊,18cm,400円,726.1-コ-2,図書,購入,360,図書室,図書室,,一般貸出,,1,
265843,在架,,2020/8/31 0:00,鬼滅の刃　1,ジャンプコミックス,吾峠呼世晴　著,集英社,2016.6,978-4-08-880723-2,1冊,18cm,400円,726.1-コ-1,図書,購入,360,図書室,図書室,,一般貸出,,1,
265850,在架,,2020/8/31 0:00,鬼滅の刃,JUMP j BOOKS,吾峠呼世晴　著,集英社,2019.2,978-4-08-703473-8,194p,18cm,700円,913.6-コ,図書,購入,630,図書室,図書室,,一般貸出,,1,
265867,在架,,2020/8/31 0:00,鬼滅の刃　[2],JUMP j BOOKS,吾峠呼世晴　著,集英社,2019.1,978-4-08-703485-1,216p,18cm,700円,913.6-コ,図書,購入,630,図書室,図書室,,一般貸出,,1,
265874,在架,,2020/8/31 0:00,鬼滅の刃　[3],JUMP j BOOKS,吾峠呼世晴　著,集英社,2020.7,978-4-08-703498-1,232p,18cm,700円,913.6-コ,図書,購入,630,図書室,図書室,,一般貸出,,1,
265881,在架,,2020/8/31 0:00,鬼滅の刃公式ファンブック鬼殺隊見聞録,ジャンプコミックス,吾峠呼世晴　著,集英社,2019.7,978-4-08-882043-9,215p,18cm,900円,726.10-コ,図書,購入,810,図書室,図書室,,一般貸出,,3,
265898,在架,,2020/8/31 0:00,平和のバトン,,弓狩匡純　著,くもん出版,2019.6,978-4-7743-2777-8,159p,20cm,1500円,369.37-ユ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
265973,在架,,2020/8/31 0:00,Excel完全ガイド = The Perfect Guide Book of Excel for Users　改訂2版,一冊に凝縮,門脇香奈子　著,SBクリエイティブ,2019.3,978-4-8156-0091-4,367p,24cm,1480円,7,図書,購入,1332,図書室,図書室,,一般貸出,,0,
265980,在架,,2020/8/31 0:00,バズレシピ　もっと!太らないおかず編,FUSOSHA MOOK,リュウジ　著,扶桑社,2020.2,978-4-594-61494-2,95p,24cm,1000円,596,図書,購入,900,図書室,図書室,,一般貸出,,0,
265997,在架,,2020/8/31 0:00,東京レイヴンズ　１３,富士見ファンタジア文庫　あ　２－５－１３,あざの耕平　著,ＫＡＤＯＫＡＷＡ,2015/3/20,4-04-070524-6,323p,15cm,600,913.6-ア-13,図書,購入,540,図書室,図書室,,一般貸出,,1,
266000,在架,,2020/8/31 0:00,東京レイヴンズ　１４,富士見ファンタジア文庫　あ　２－５－１４,あざの耕平　著,ＫＡＤＯＫＡＷＡ,2015/12/19,4-04-070525-4,510p,15cm,660,913.6-ア-14,図書,購入,594,図書室,図書室,,一般貸出,,1,
266017,在架,,2020/8/31 0:00,東京レイヴンズ　１５,富士見ファンタジア文庫　あ　２－５－１５,あざの耕平　著,ＫＡＤＯＫＡＷＡ,2017/9/17,4-04-070526-2,406p,15cm,640,913.6-ア-15,図書,購入,576,図書室,図書室,,一般貸出,,1,
266024,在架,,2020/8/31 0:00,東京レイヴンズ　１１,富士見ファンタジア文庫　あ　２－５－１１,あざの耕平　著,ＫＡＤＯＫＡＷＡ,2014/4/19,4-04-070087-2,377p,15cm,620,913.6-ア-11,図書,購入,558,図書室,図書室,,一般貸出,,1,
266093,在架,,2020/8/31 0:00,東京レイヴンズ　１０,富士見ファンタジア文庫　あ　２－５－１０,あざの耕平　著,ＫＡＤＯＫＡＷＡ,2013/10/19,4-04-712911-9,361p,15cm,620,913.6-ア-10,図書,購入,558,図書室,図書室,,一般貸出,,1,
266109,在架,,2020/8/31 0:00,東京レイヴンズ　９,富士見ファンタジア文庫　あ　２－５－９,あざの耕平　著,ＫＡＤＯＫＡＷＡ,2014/2/15,4-04-071023-1,443p,15cm,640,913.6-ア-9,図書,購入,576,図書室,図書室,,一般貸出,,1,
266116,在架,,2020/8/31 0:00,フラジャイル = FRAGILE　6,アフタヌーンKC　1444,草水敏　原作,講談社,2016.6,978-4-06-388144-8,179p,19cm,600円,726.1-ク-6,図書,購入,540,図書室,図書室,,一般貸出,,0,
266123,在架,,2020/8/31 0:00,フラジャイル = FRAGILE　10,アフタヌーンKC,草水敏　原作,講談社,2017.11,978-4-06-510364-7,187p,19cm,600円,726.1-ク-10,図書,購入,540,図書室,図書室,,一般貸出,,0,
266130,在架,,2020/8/31 0:00,フラジャイル = FRAGILE　9,アフタヌーンKC　1578,草水敏　原作,講談社,2017.7,978-4-06-388278-0,168p,19cm,600円,726.1-ク-9,図書,購入,540,図書室,図書室,,一般貸出,,0,
266147,在架,,2020/8/31 0:00,破局,,遠野遥　著,河出書房新社,2020.7,978-4-309-02905-4,141p,20cm,1400円,913.6-ト,図書,購入,1260,図書室,図書室,,一般貸出,,0,
266154,在架,,2020/8/31 0:00,命日占い,,かげした真由子　著,サンマーク出版,2020.6,978-4-7631-3832-3,351p,19cm,1500円,148.8-カ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
266161,在架,,2020/8/31 0:00,フラミンゴボーイ,,マイケル・モーパーゴ　作,小学館,2019.1,978-4-09-290627-3,301p,19cm,1500円,933.7-Ｍ,図書,購入,1350,図書室,図書室,,一般貸出,,0,
266178,在架,,2020/8/31 0:00,ブルーピリオド = Blue Period　5,アフタヌーンKC,山口つばさ　著,講談社,2019.6,978-4-06-515958-3,1冊(ﾍﾟｰｼﾞ付なし),19cm,630円,726.1-ヤ-5,図書,購入,567,図書室,図書室,,一般貸出,,0,
266185,在架,,2020/8/31 0:00,ブルーピリオド = Blue Period　4,アフタヌーンKC,山口つばさ　著,講談社,2019.2,978-4-06-514484-8,1冊(ﾍﾟｰｼﾞ付なし),19cm,630円,726.1-ヤ-4,図書,購入,567,図書室,図書室,,一般貸出,,0,
266192,在架,,2020/8/31 0:00,ブルーピリオド = Blue Period　3,アフタヌーンKC,山口つばさ　著,講談社,2018.8,978-4-06-512336-2,1冊(ﾍﾟｰｼﾞ付なし),19cm,630円,726.1-ヤ-3,図書,購入,567,図書室,図書室,,一般貸出,,0,
266208,在架,,2020/8/31 0:00,ブルーピリオド = Blue Period　2,アフタヌーンKC,山口つばさ　著,講談社,2018.3,978-4-06-511124-6,1冊(ﾍﾟｰｼﾞ付なし),19cm,630円,726.1-ヤ-2,図書,購入,567,図書室,図書室,,一般貸出,,0,
266277,在架,,2020/8/31 0:00,おうち性教育はじめます,MF comic essay,フクチマミ　著,KADOKAWA,2020.3,978-4-04-064517-9,199p,21cm,1300円,367.99-フ,図書,購入,1170,図書室,図書室,,一般貸出,,0,
266284,在架,,2020/8/31 0:00,ニッポン全国文房具店ガイド,,ウェブマガジン『毎日、文房具。』　監修,玄光社,2020.6,978-4-7683-1362-6,175p,21cm,1800円,673.7,図書,購入,1620,図書室,図書室,,一般貸出,,0,
266291,在架,,2020/8/31 0:00,キャパとゲルダ,,マーク・アロンソン　著,あすなろ書房,2019.9,978-4-7515-2941-6,302p,20cm,1800円,740.25-Ａ,図書,購入,1620,図書室,図書室,,一般貸出,,0,
266307,在架,,2020/8/31 0:00,キングダム　８,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/3,4-08-877361-6,209p,19cm,505,726.1-ハ-8,図書,購入,455,図書室,図書室,,一般貸出,,0,
266314,在架,,2020/8/31 0:00,キングダム　４,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/3,4-08-877213-X,207p,19cm,505,726.1-ハ-4,図書,購入,455,図書室,図書室,,一般貸出,,1,
266321,在架,,2020/8/31 0:00,キングダム　３,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/3,4-08-877171-0,196p,19cm,505,726.1-ハ-3,図書,購入,455,図書室,図書室,,一般貸出,,1,
266338,在架,,2020/8/31 0:00,キングダム　２,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/30,4-08-877129-X,208p,19cm,505,726.1-ハ-2,図書,購入,455,図書室,図書室,,一般貸出,,1,
266345,在架,,2020/8/31 0:00,キングダム　７,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/10,4-08-877336-5,205p,19cm,505,726.1-ハ-7,図書,購入,455,図書室,図書室,,一般貸出,,0,
266352,在架,,2020/8/31 0:00,キングダム　６,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/30,4-08-877289-X,207p,19cm,505,726.1-ハ-6,図書,購入,455,図書室,図書室,,一般貸出,,1,
266369,在架,,2020/8/31 0:00,キングダム　５,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/3,4-08-877259-8,221p,19cm,505,726.1-ハ-5,図書,購入,455,図書室,図書室,,一般貸出,,1,
266376,在架,,2020/8/31 0:00,緋弾のアリア　２０,ＭＦ文庫　Ｊ　あ　５－２５,赤松中学　著,ＫＡＤＯＫＡＷＡ,2015/5/22,4-04-067612-2,261p,15cm,580,913.6-ア-20,図書,購入,522,図書室,図書室,,一般貸出,,4,
266383,在架,,2020/8/31 0:00,緋弾のアリア　２２,ＭＦ文庫　Ｊ　あ　５－３０,赤松中学　著,ＫＡＤＯＫＡＷＡ,2016/4/22,4-04-068011-1,293p,15cm,580,913.6-ア-22,図書,購入,522,図書室,図書室,,一般貸出,,4,
266390,在架,,2020/8/31 0:00,緋弾のアリア　２７,ＭＦ文庫　Ｊ　あ　５－３６,赤松中学　著,ＫＡＤＯＫＡＷＡ,2018/1/22,4-04-069607-7,293p,15cm,580,913.6-ア-27,図書,購入,522,図書室,図書室,,一般貸出,,3,
266406,在架,,2020/8/31 0:00,緋弾のアリア　２６,ＭＦ文庫　Ｊ　あ　５－３４,赤松中学　著,ＫＡＤＯＫＡＷＡ,2017/9/22,4-04-069397-3,325p,15cm,580,913.6-ア-26,図書,購入,522,図書室,図書室,,一般貸出,,4,
266413,在架,,2020/8/31 0:00,緋弾のアリア　２５,ＭＦ文庫　Ｊ　あ　５－３３,赤松中学　著,ＫＡＤＯＫＡＷＡ,2017/4/22,4-04-069183-0,325p,15cm,580,913.6-ア-25,図書,購入,522,図書室,図書室,,一般貸出,,4,
266420,在架,,2020/8/31 0:00,緋弾のアリア　１９,ＭＦ文庫　Ｊ　あ　５－２３,赤松中学　著,ＫＡＤＯＫＡＷＡ,2014/12/21,4-04-067314-X,293p,15cm,580,913.6-ア-19,図書,購入,522,図書室,図書室,,一般貸出,,4,
266437,在架,,2020/8/31 0:00,緋弾のアリア　１８,ＭＦ文庫　Ｊ　あ　５－２２,赤松中学　著,ＫＡＤＯＫＡＷＡ,2014/8/22,4-04-066954-1,325p,15cm,580,913.6-ア-18,図書,購入,522,図書室,図書室,,一般貸出,,4,
266444,在架,,2020/8/31 0:00,緋弾のアリア　２４,ＭＦ文庫　Ｊ　あ　５－３２,赤松中学　著,ＫＡＤＯＫＡＷＡ,2016/12/22,4-04-068772-8,261p,15cm,580,913.6-ア-24,図書,購入,522,図書室,図書室,,一般貸出,,4,
266451,在架,,2020/8/31 0:00,緋弾のアリア　２１,ＭＦ文庫　Ｊ　あ　５－２７,赤松中学　著,ＫＡＤＯＫＡＷＡ,2015/8/22,4-04-067750-1,261p,15cm,580,913.6-ア-21,図書,購入,522,図書室,図書室,,一般貸出,,0,
266468,在架,,2020/8/31 0:00,緋弾のアリア　２３,ＭＦ文庫　Ｊ　あ　５－３１,赤松中学　著,ＫＡＤＯＫＡＷＡ,2016/8/22,4-04-068600-4,293p,15cm,580,913.6-ア-23,図書,購入,522,図書室,図書室,,一般貸出,,4,
265904,在架,,2020/8/31 0:00,廉太郎ノオト = Rentaro note,,谷津矢車　著,中央公論新社,2019.9,978-4-12-005231-6,348p,20cm,1750円,913.6-ヤ,図書,購入,1575,図書室,図書室,,一般貸出,,0,
265911,在架,,2020/8/31 0:00,ホワイトラビット,新潮文庫　い-69-12,伊坂幸太郎　著,新潮社,2020.7,978-4-10-125032-8,361p,16cm,670円,913.6-イ,図書,購入,603,図書室,図書室,,一般貸出,,0,
265928,在架,,2020/8/31 0:00,コロナの時代の僕ら,,パオロ・ジョルダーノ　著,早川書房,2020.4,978-4-15-209945-7,126p,20cm,1300円,974-Ｇ,図書,購入,1170,図書室,図書室,,一般貸出,,0,
265935,在架,,2020/8/31 0:00,「自分だけの答え」が見つかる13歳からのアート思考,,末永幸歩　著,ダイヤモンド社,2020.2,978-4-478-10918-2,"338,4p",19cm,1800円,141.5-ス,図書,購入,1620,図書室,図書室,,一般貸出,,1,
265942,在架,,2020/8/31 0:00,見るだけで9割かなう!魔法の宝地図 = 90% come true just by looking Magic treasure map,,望月俊孝　著,KADOKAWA,2020.1,978-4-04-604580-5,255p,19cm,1400円,159-モ,図書,購入,1260,図書室,図書室,,一般貸出,,0,
265959,在架,,2020/8/31 0:00,高卒程度公務員完全攻略問題集　2021年度版,,麻生キャリアサポート　監修,実務教育出版,2020.3,978-4-7889-7333-6,325p,21cm,1300円,317.4,図書,購入,1170,図書室,図書室,,一般貸出,,0,
265966,在架,,2020/8/31 0:00,高校卒で受けられる公務員試験早わかりブック　2021年度版,,資格試験研究会　編,実務教育出版,2020.4,978-4-7889-7477-7,171p,21cm + 過去問模試(39,1200円,317.4,図書,購入,1080,図書室,図書室,,一般貸出,,2,
266031,在架,,2020/8/31 0:00,ソードアート・オンライン　24,電撃文庫　3641,川原礫　[著],KADOKAWA,2020.5,978-4-04-913155-0,303p,15cm,630円,913.6-カ-24,図書,購入,567,図書室,図書室,,一般貸出,,1,
266048,在架,,2020/8/31 0:00,キングダム　１,ヤングジャンプコミックス,原泰久　著,集英社,2015/11/21,4-08-877079-X,216p,19cm,505,726.1-ハ-1,図書,購入,455,図書室,図書室,,一般貸出,,1,
266055,在架,,2020/8/31 0:00,キングダム　１０,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/3,4-08-877462-0,209p,19cm,514,726.1-ハ-10,図書,購入,463,図書室,図書室,,一般貸出,,0,
266062,在架,,2020/8/31 0:00,キングダム　９,ヤングジャンプコミックス,原泰久　著,集英社,2013/3/3,4-08-877409-4,207p,19cm,505,726.1-ハ-9,図書,購入,455,図書室,図書室,,一般貸出,,0,
266079,在架,,2020/8/31 0:00,東京レイヴンズ　１２,富士見ファンタジア文庫　あ　２－５－１２,あざの耕平　著,ＫＡＤＯＫＡＷＡ,2014/11/20,4-04-070139-9,377p,15cm,620,913.6-ア-12,図書,購入,558,図書室,図書室,,一般貸出,,1,
266086,在架,,2020/8/31 0:00,東京レイヴンズ　16,富士見ファンタジア文庫　あ-2-5-16,あざの耕平　著,KADOKAWA,2018.1,978-4-04-072729-5,461p,15cm,660円,913.6-ア-16,図書,購入,594,図書室,図書室,,一般貸出,,1,
266215,在架,,2020/8/31 0:00,ブルーピリオド = Blue Period　1,アフタヌーンKC,山口つばさ　著,講談社,2017.12,978-4-06-510586-3,1冊(ﾍﾟｰｼﾞ付なし),19cm,630円,726.1-ヤ-1,図書,購入,567,図書室,図書室,,一般貸出,,0,
266222,在架,,2020/8/31 0:00,あなたの知らないあなたの強み,,古野俊幸　著,日経BP,2020.6,978-4-296-10604-2,377p,19cm,1800円,366.94-フ,図書,購入,1620,図書室,図書室,,一般貸出,,0,
